chr sx dx TE BLAST_len TE_len dist_5 dist_3 diff_len
scaffold_1 12528526 12528553 scaffold_1_1958414_1965752 6977 7339 203 158 362
scaffold_1 13832648 13832643 scaffold_8_16270575_16272589 2014 2015 0 0 1
scaffold_1 13933336 13933324 scaffold_9_2916566_2921115 4500 4550 2 47 50
scaffold_1 14136524 14136528 scaffold_3_49214780_49220466 5686 5687 0 0 1
scaffold_1 14200575 14200811 scaffold_8_7945381_7956571 10365 11191 368 457 826
scaffold_1 14237672 14237675 scaffold_6_601653_614124 12449 12472 13 9 23
scaffold_1 14284372 14284430 scaffold_1_8517671_8530085 12398 12415 0 16 17
scaffold_1 14423709 14423699 scaffold_3_24306323_24307564 814 1242 357 70 428
scaffold_1 14802200 14802198 scaffold_1_11138780_11149105 10315 10326 0 10 11
scaffold_1 14860544 14860562 scaffold_8_16339854_16350038 10177 10185 0 7 8
scaffold_1 15083692 15083747 scaffold_1_14055922_14069062 10921 13141 2015 204 2220
scaffold_1 15253500 15253504 scaffold_9_13089780_13102314 12534 12535 0 0 1
scaffold_1 15314974 15314989 scaffold_3_35813496_35825829 12326 12334 7 0 8
scaffold_1 15447750 15447967 scaffold_5_6270700_6276286 5487 5587 90 9 100
scaffold_1 15449423 15449567 3733_NHF 691 986 54 240 295
scaffold_1 15495707 15495708 scaffold_5_22265204_22270395 5191 5192 0 0 1
scaffold_1 15748580 15748590 218_NHF 212 342 22 107 130
scaffold_1 15755899 15755893 scaffold_5_26781606_26788984 7280 7379 9 89 99
scaffold_1 15908459 15908519 scaffold_3_5790872_5795354 4482 4483 0 0 1
scaffold_1 16007145 16007179 scaffold_8_12695920_12720562 18518 24643 4747 1377 6125
scaffold_1 16611087 16611191 scaffold_2_20710837_20715059 2787 4223 440 995 1436
scaffold_1 16683486 16683482 scaffold_3_27944680_27946104 1424 1425 0 0 1
scaffold_1 16939694 16939730 7659_NHF 139 140 0 0 1
scaffold_1 17031930 17031923 scaffold_3_24306323_24307564 648 1242 474 119 594
scaffold_1 17710501 17710506 scaffold_5_1150221_1155023 4802 4803 0 0 1
scaffold_1 17721632 17721689 scaffold_5_33896158_33897176 1008 1019 10 0 11
scaffold_1 17883996 17883988 211_NHF 169 190 20 0 21
scaffold_1 18225160 18225380 scaffold_1_18219795_18225443 5244 5649 404 0 405
scaffold_1 18225546 18225580 scaffold_9_3512346_3513660 1314 1315 0 0 1
scaffold_1 18291277 18291288 scaffold_6_601653_614124 12462 12472 9 0 10
scaffold_1 18569201 18569196 scaffold_3_30657602_30658468 851 867 0 15 16
scaffold_1 19055703 19055714 9_NHF 587 611 10 13 24
scaffold_1 19283206 19283195 scaffold_2_22680690_22685740 5032 5051 18 0 19
scaffold_1 19721000 19721039 scaffold_7_8114258_8115262 1002 1005 0 2 3
scaffold_1 19721920 19721930 scaffold_8_7395636_7403314 7672 7679 4 2 7
scaffold_1 19736288 19736311 517_NHF 797 819 21 0 22
scaffold_1 20061559 20061619 scaffold_3_36582640_36583774 1133 1135 0 1 2
scaffold_1 20449825 20449817 scaffold_5_36801630_36806618 4988 4989 0 0 1
scaffold_1 20612550 20612620 scaffold_7_1386898_1392852 5726 5955 201 27 229
scaffold_1 20836554 20836562 scaffold_5_12346790_12349762 1608 2973 1094 270 1365
scaffold_1 21123758 21123856 scaffold_2_7739042_7752734 13158 13693 488 46 535
scaffold_1 21238736 21238996 scaffold_3_21531496_21536284 4786 4789 0 2 3
scaffold_1 21341908 21341912 scaffold_3_49214780_49220466 5648 5687 38 0 39
scaffold_1 21421910 21421931 scaffold_3_35813496_35825829 12331 12334 2 0 3
scaffold_1 21776382 21776512 scaffold_9_10785380_10791464 5721 6085 360 3 364
scaffold_1 22570900 22570908 scaffold_4_8894176_8905827 11642 11652 9 0 10
scaffold_1 22611607 22611613 scaffold_6_158618_175810 17189 17193 0 3 4
scaffold_1 22619624 22619664 scaffold_3_37529953_37539758 9796 9806 2 7 10
scaffold_1 22766151 22766139 2102_NHF 1568 1569 0 0 1
scaffold_1 22788418 22788434 scaffold_3_24306323_24307564 645 1242 474 122 597
scaffold_1 23039156 23039158 9_NHF 610 611 0 0 1
scaffold_1 23403825 23403833 scaffold_2_9419653_9430324 10667 10672 4 0 5
scaffold_1 23543646 23543638 9640_NHF 192 231 0 38 39
scaffold_1 23641822 23641815 scaffold_9_2615990_2622165 6137 6176 2 36 39
scaffold_1 23643121 23643157 517_NHF 806 819 12 0 13
scaffold_1 23661715 23661726 scaffold_1_25935036_25935998 880 963 58 24 83
scaffold_1 23739652 23739705 2608_NHF 138 152 0 13 14
scaffold_1 23891619 23891629 323_NHF 438 444 3 2 6
scaffold_1 23911837 23911850 3866_NHF 448 449 0 0 1
scaffold_1 23971260 23971256 scaffold_4_22117041_22118525 1409 1485 51 24 76
scaffold_1 24036247 24036320 scaffold_8_15243186_15254848 9766 11663 654 1242 1897
scaffold_1 24067280 24067279 scaffold_5_26533503_26537157 3638 3655 11 5 17
scaffold_1 24075954 24076171 scaffold_3_14697274_14706422 8892 9149 30 226 257
scaffold_1 24083287 24083286 scaffold_3_11610932_11612830 1898 1899 0 0 1
scaffold_1 24091612 24091609 4187_NHF 274 276 1 0 2
scaffold_1 24112734 24112743 scaffold_8_24077606_24086836 9161 9231 17 52 70
scaffold_1 24232424 24232439 43_NHF 112 123 0 10 11
scaffold_1 24641978 24641974 11_NHF 707 1152 0 444 445
scaffold_1 24654054 24654060 scaffold_9_29654291_29663260 8961 8970 7 1 9
scaffold_1 24728406 24728402 scaffold_3_36345776_36358760 12984 12985 0 0 1
scaffold_1 24963484 24963491 377_NHF 86 87 0 0 1
scaffold_1 25438197 25438195 scaffold_9_10612870_10620356 7486 7487 0 0 1
scaffold_1 25451692 25451702 scaffold_1_2073240_2074165 879 926 0 46 47
scaffold_1 25524897 25524912 scaffold_3_40048975_40049917 912 943 21 9 31
scaffold_1 25915896 25915915 scaffold_8_424052_425692 1634 1641 4 2 7
scaffold_1 26179677 26179683 36_NHF 435 436 0 0 1
scaffold_1 26447281 26447387 715_NHF 108 111 0 2 3
scaffold_1 26816603 26816629 scaffold_5_42192884_42194340 1439 1457 17 0 18
scaffold_1 26822232 26822233 191_NHF 1953 1966 10 2 13
scaffold_1 26946232 26946224 scaffold_5_32433627_32440694 7059 7068 0 8 9
scaffold_1 27199490 27199483 422_NHF 290 335 39 5 45
scaffold_1 27241233 27241260 1190_NHF 151 152 0 0 1
scaffold_1 27360272 27360273 scaffold_9_20813556_20819308 5736 5753 0 16 17
scaffold_1 27603418 27603481 scaffold_3_11610932_11612830 1867 1899 0 31 32
scaffold_1 27720053 27720059 scaffold_7_7490134_7495642 3422 5509 2031 55 2087
scaffold_1 27959769 27959784 scaffold_9_22346741_22359274 12531 12534 0 2 3
scaffold_1 27967235 27967246 scaffold_9_10785380_10791464 6069 6085 15 0 16
scaffold_1 28209302 28209311 scaffold_8_7377203_7378242 1039 1040 0 0 1
scaffold_1 28621431 28621512 scaffold_3_49833880_49838543 4646 4664 7 10 18
scaffold_1 28646089 28646108 scaffold_8_10497898_10498915 611 1018 60 346 407
scaffold_1 28894052 28894057 1118_NHF 662 666 0 3 4
scaffold_2 369645 369637 scaffold_1_1845534_1846530 976 997 0 20 21
scaffold_2 427375 427387 scaffold_9_13708868_13721255 12332 12388 0 55 56
scaffold_2 473707 473705 60_NHF 315 317 0 1 2
scaffold_2 498764 498967 245_NHF 366 682 73 242 316
scaffold_2 578998 579000 scaffold_8_2783014_2788460 5444 5447 0 2 3
scaffold_2 915595 915654 scaffold_5_22347000_22358548 5829 11549 2672 3047 5720
scaffold_2 939289 939300 scaffold_1_15541075_15553392 12317 12318 0 0 1
scaffold_2 1160091 1160090 scaffold_9_27023705_27035992 11400 12288 495 392 888
scaffold_2 2394983 2395126 scaffold_6_3638143_3665633 15133 27491 12357 0 12358
scaffold_2 2475084 2475392 scaffold_2_18704010_18725175 20654 21166 300 211 512
scaffold_2 2670852 2670843 scaffold_5_42176941_42183308 6352 6368 15 0 16
scaffold_2 3523435 3523432 scaffold_6_10768694_10781736 13035 13043 0 7 8
scaffold_2 3598222 3598225 scaffold_3_48511903_48513048 1145 1146 0 0 1
scaffold_2 3948532 3948589 scaffold_2_6970552_6971754 1141 1203 52 9 62
scaffold_2 4259602 4259616 scaffold_9_26607599_26620073 12459 12475 0 15 16
scaffold_2 4631256 4631269 scaffold_4_15333633_15336062 2429 2430 0 0 1
scaffold_2 4919127 4919150 scaffold_8_7377203_7378242 1039 1040 0 0 1
scaffold_2 4948460 4948452 210_NHF 814 815 0 0 1
scaffold_2 4981176 4981168 scaffold_3_3530023_3530928 905 906 0 0 1
scaffold_2 5121411 5121397 115_NHF 323 333 2 7 10
scaffold_2 5250783 5250793 scaffold_9_10785380_10791464 6069 6085 15 0 16
scaffold_2 5273070 5273066 3087_NHF 231 233 0 1 2
scaffold_2 5406527 5406533 scaffold_5_32664836_32665671 827 836 8 0 9
scaffold_2 5412926 5412918 scaffold_3_24306323_24307564 829 1242 383 29 413
scaffold_2 5611047 5611058 scaffold_9_1026947_1057041 24371 30095 826 4897 5724
scaffold_2 5689581 5689614 scaffold_7_10642737_10649340 6574 6604 0 29 30
scaffold_2 5738216 5738233 scaffold_3_24306323_24307564 637 1242 484 120 605
scaffold_2 5770336 5770364 scaffold_2_25078133_25083282 5145 5150 0 4 5
scaffold_2 5825850 5825838 125_NHF 460 465 1 3 5
scaffold_2 5848814 5848874 scaffold_2_5848738_5894101 32278 45364 136 12949 13086
scaffold_2 5925429 5925425 scaffold_8_2783014_2788460 5432 5447 0 14 15
scaffold_2 5974096 5974212 9_NHF 570 611 21 19 41
scaffold_2 6132733 6132737 scaffold_8_16270575_16272589 2014 2015 0 0 1
scaffold_2 6213758 6213754 scaffold_6_601653_614124 12454 12472 8 9 18
scaffold_2 6231529 6231525 scaffold_3_18111329_18119194 7854 7866 11 0 12
scaffold_2 6247947 6247948 scaffold_8_6526114_6536558 10425 10445 19 0 20
scaffold_2 6284302 6284311 scaffold_3_24306323_24307564 635 1242 479 127 607
scaffold_2 6346638 6346632 scaffold_5_9564280_9569562 5275 5283 0 7 8
scaffold_2 6406365 6406455 scaffold_3_24306323_24307564 827 1242 357 57 415
scaffold_2 6432215 6432251 scaffold_1_18837083_18838634 1533 1552 5 13 19
scaffold_2 6434886 6434878 scaffold_3_24306323_24307564 856 1242 358 27 386
scaffold_2 6495155 6495150 scaffold_2_5791461_5805142 13681 13682 0 0 1
scaffold_2 6564114 6564121 scaffold_2_6559648_6587835 24319 28188 2000 1868 3869
scaffold_2 6585761 6585811 scaffold_2_6559648_6587835 22584 28188 3907 1696 5604
scaffold_2 6605728 6605749 scaffold_3_30273202_30278654 5412 5453 0 40 41
scaffold_2 6636162 6636184 scaffold_3_3530023_3530928 905 906 0 0 1
scaffold_2 6657836 6657855 125_NHF 449 465 6 9 16
scaffold_2 6709203 6709200 scaffold_1_5438498_5440523 1470 2026 488 67 556
scaffold_2 6937766 6937760 125_NHF 449 465 8 7 16
scaffold_2 7014559 7014819 scaffold_7_11479921_11480900 959 980 0 20 21
scaffold_2 7017025 7017037 scaffold_5_5890337_5908768 18413 18432 18 0 19
scaffold_2 7025121 7025113 scaffold_8_12788054_12796455 8363 8402 0 38 39
scaffold_2 7084708 7084702 scaffold_1_3950284_3951319 960 1036 21 54 76
scaffold_2 7101780 7101784 scaffold_7_20026189_20027153 932 965 10 22 33
scaffold_2 7137380 7137565 scaffold_8_8846606_8852087 4851 5482 425 205 631
scaffold_2 7326528 7326617 scaffold_2_5791461_5805142 13674 13682 7 0 8
scaffold_2 7458807 7458805 517_NHF 816 819 2 0 3
scaffold_2 7534324 7534357 scaffold_2_5791461_5805142 13681 13682 0 0 1
scaffold_2 7547507 7547582 scaffold_2_7520204_7547430 20876 27227 6345 5 6351
scaffold_2 7734241 7734305 scaffold_3_14066317_14067469 1133 1153 14 5 20
scaffold_2 7856666 7856719 scaffold_3_24306323_24307564 860 1242 358 23 382
scaffold_2 7961284 7961289 scaffold_2_7694092_7707586 12489 13495 993 12 1006
scaffold_2 8237959 8237946 211_NHF 187 190 2 0 3
scaffold_2 8393016 8393012 scaffold_5_9518598_9524018 5400 5421 5 15 21
scaffold_2 8408800 8408804 scaffold_1_18716005_18717000 995 996 0 0 1
scaffold_2 8440953 8441001 scaffold_2_17826657_17850972 24306 24316 0 9 10
scaffold_2 8445725 8445730 scaffold_3_9812752_9813565 780 814 0 33 34
scaffold_2 8581490 8581483 4929_NHF 175 184 0 8 9
scaffold_2 8589010 8589045 scaffold_5_42192884_42194340 1404 1457 18 34 53
scaffold_2 8771106 8771098 scaffold_5_39903880_39904710 808 831 0 22 23
scaffold_2 8851367 8851375 scaffold_8_7377203_7378242 1039 1040 0 0 1
scaffold_2 8910055 8910050 scaffold_1_28120679_28122643 1962 1965 0 2 3
scaffold_2 8997096 8997101 scaffold_5_43072032_43072938 865 907 1 40 42
scaffold_2 9130804 9130821 517_NHF 810 819 8 0 9
scaffold_2 9370273 9370335 scaffold_9_29144354_29145217 836 864 24 3 28
scaffold_2 9567333 9567364 scaffold_7_1621832_1623029 1175 1198 6 16 23
scaffold_2 9626882 9626915 scaffold_9_25347119_25349494 2375 2376 0 0 1
scaffold_2 9732475 9732483 scaffold_8_5569174_5574816 5625 5643 8 9 18
scaffold_2 9943286 9943278 scaffold_8_12858560_12859436 868 877 8 0 9
scaffold_2 10006302 10006297 267_NHF 600 601 0 0 1
scaffold_2 10009702 10009704 925_NHF 384 403 0 18 19
scaffold_2 10047067 10047073 scaffold_6_13468724_13473148 4417 4425 7 0 8
scaffold_2 10076630 10076622 scaffold_3_36345776_36358760 12983 12985 0 1 2
scaffold_2 10205868 10205860 scaffold_3_24306323_24307564 849 1242 358 34 393
scaffold_2 10243906 10243936 scaffold_3_21352917_21356824 3899 3908 4 4 9
scaffold_2 10244300 10244294 scaffold_3_21352917_21356824 3896 3908 7 4 12
scaffold_2 10356208 10356446 7973_NHF 572 588 15 0 16
scaffold_2 10416915 10416910 scaffold_3_24306323_24307564 782 1242 408 51 460
scaffold_2 10489134 10489130 scaffold_9_241000_253167 12154 12168 0 13 14
scaffold_2 10543820 10544051 scaffold_8_12409408_12423316 10330 13909 827 2751 3579
scaffold_2 10635454 10635496 scaffold_6_21934222_21940878 6643 6657 0 13 14
scaffold_2 10679221 10679227 scaffold_3_36345776_36358760 12983 12985 0 1 2
scaffold_2 10959309 10959641 scaffold_1_16782376_16792996 10185 10621 110 325 436
scaffold_2 11052108 11052119 scaffold_3_24306323_24307564 854 1242 362 25 388
scaffold_2 11071448 11071452 scaffold_5_42176941_42183308 6318 6368 49 0 50
scaffold_2 11464044 11464301 scaffold_9_19494730_19504994 9398 10265 361 505 867
scaffold_2 11524590 11524589 scaffold_9_31134346_31139432 5012 5087 49 25 75
scaffold_2 11578753 11578790 scaffold_4_14708603_14718818 6873 10216 280 3062 3343
scaffold_2 11672483 11672504 scaffold_2_27419484_27420899 1384 1416 14 17 32
scaffold_2 11697881 11697880 scaffold_1_27199962_27200998 896 1037 20 120 141
scaffold_2 11725675 11725703 scaffold_6_1218556_1219518 918 963 15 29 45
scaffold_2 11730713 11730699 115_NHF 332 333 0 0 1
scaffold_2 11798653 11798648 scaffold_7_13673962_13675480 1501 1519 12 5 18
scaffold_2 11799485 11799516 4822_NHF 164 194 0 29 30
scaffold_2 11828778 11828797 scaffold_3_35813496_35825829 12333 12334 0 0 1
scaffold_2 11877058 11877059 scaffold_3_14723706_14724588 822 883 53 7 61
scaffold_2 11897080 11897068 115_NHF 327 333 5 0 6
scaffold_2 12131593 12131628 390_NHF 123 135 0 11 12
scaffold_2 12149332 12149325 scaffold_1_2073240_2074165 921 926 0 4 5
scaffold_2 12180703 12180698 scaffold_6_601653_614124 12453 12472 18 0 19
scaffold_2 12223512 12223652 scaffold_5_42966282_42967386 1080 1105 0 24 25
scaffold_2 12237937 12237952 scaffold_9_5469540_5471872 2319 2333 13 0 14
scaffold_2 12256330 12256325 scaffold_9_2615990_2622165 6160 6176 6 9 16
scaffold_2 12618280 12618275 scaffold_2_5791461_5805142 13681 13682 0 0 1
scaffold_2 13618022 13618035 scaffold_1_18837083_18838634 1518 1552 4 29 34
scaffold_2 13624447 13624477 scaffold_2_12980228_12993183 10303 12956 1073 1579 2653
scaffold_2 13792752 13792781 scaffold_2_5552470_5557944 5472 5475 2 0 3
scaffold_2 13810471 13810467 scaffold_1_5438498_5440523 1825 2026 15 185 201
scaffold_2 13938654 13938643 36_NHF 428 436 0 7 8
scaffold_2 14046240 14046314 scaffold_8_8053262_8063614 6914 10353 3438 0 3439
scaffold_2 14183355 14183347 scaffold_5_1230606_1234262 3630 3657 8 18 27
scaffold_2 14312408 14312404 scaffold_3_35813496_35825829 12333 12334 0 0 1
scaffold_2 15123904 15123969 scaffold_3_12864197_12865065 849 869 19 0 20
scaffold_2 15152678 15152822 scaffold_3_21383226_21384338 820 1113 107 185 293
scaffold_2 15251820 15251893 scaffold_9_13089780_13102314 12534 12535 0 0 1
scaffold_2 15681322 15681378 scaffold_3_27448844_27453570 4707 4727 0 19 20
scaffold_2 16094613 16094721 scaffold_6_15628104_15663958 18268 35855 3695 13891 17587
scaffold_2 16172171 16172280 5397_LTR/Gypsy 794 1362 0 567 568
scaffold_2 16533920 16533923 scaffold_3_24306323_24307564 819 1242 397 25 423
scaffold_2 16674494 16674490 scaffold_6_601653_614124 12463 12472 8 0 9
scaffold_2 17562987 17563079 scaffold_5_8419290_8420591 664 1302 17 620 638
scaffold_2 17606460 17606628 scaffold_3_29890466_29905428 14766 14963 45 151 197
scaffold_2 17965282 17965276 scaffold_8_6526114_6536558 10437 10445 7 0 8
scaffold_2 18125723 18125725 scaffold_3_23683348_23695570 11521 12223 323 378 702
scaffold_2 18684155 18684175 scaffold_8_11486577_11493919 7217 7343 70 55 126
scaffold_2 18835498 18835493 scaffold_2_18704010_18725175 21151 21166 14 0 15
scaffold_2 19008704 19008816 scaffold_8_12600916_12607954 6859 7039 49 130 180
scaffold_2 19036926 19036958 scaffold_4_8894176_8905827 11651 11652 0 0 1
scaffold_2 19077554 19077560 scaffold_2_18704010_18725175 21158 21166 7 0 8
scaffold_2 19766767 19766763 scaffold_6_601653_614124 12462 12472 9 0 10
scaffold_2 19856136 19856180 scaffold_1_15101436_15106444 4936 5009 72 0 73
scaffold_2 20247508 20247518 scaffold_1_14055922_14069062 11430 13141 1025 685 1711
scaffold_2 20376850 20377175 scaffold_3_30895646_30901135 5284 5490 0 205 206
scaffold_2 20887150 20887419 739_NHF 565 765 122 77 200
scaffold_2 21056293 21056316 scaffold_4_9193498_9200670 7161 7173 8 3 12
scaffold_2 21121126 21121166 scaffold_6_6932768_6948658 15882 15891 0 8 9
scaffold_2 21258987 21259024 scaffold_3_42765135_42771799 6483 6665 108 73 182
scaffold_2 21483908 21483915 36_NHF 418 436 12 5 18
scaffold_2 21624056 21624068 scaffold_7_13673962_13675480 1497 1519 17 4 22
scaffold_2 21724917 21724938 scaffold_5_7588951_7598676 9721 9726 0 4 5
scaffold_2 21803280 21803276 scaffold_2_32570425_32575720 5295 5296 0 0 1
scaffold_2 21803939 21803935 scaffold_3_24306323_24307564 645 1242 474 122 597
scaffold_2 21819262 21819245 scaffold_6_9158270_9161686 3404 3417 3 9 13
scaffold_2 21840147 21840152 scaffold_9_15761671_15767570 5831 5900 67 1 69
scaffold_2 22221398 22221393 scaffold_9_13708868_13721255 12375 12388 0 12 13
scaffold_2 22332779 22332776 scaffold_8_18940840_18948834 7983 7995 9 2 12
scaffold_2 22340198 22340189 scaffold_1_28061024_28062337 1303 1314 2 8 11
scaffold_2 22556213 22556215 scaffold_5_21939482_21979102 34881 39621 2625 2114 4740
scaffold_2 22951039 22951057 scaffold_3_35813496_35825829 12333 12334 0 0 1
scaffold_2 23089975 23089973 scaffold_2_23242400_23243754 1332 1355 0 22 23
scaffold_2 23105408 23105578 scaffold_5_21939482_21979102 35185 39621 1663 2772 4436
scaffold_2 23137720 23137722 6670_NHF 254 255 0 0 1
scaffold_2 23303369 23303368 scaffold_1_19559256_19564241 4935 4986 40 10 51
scaffold_2 23354360 23354372 scaffold_5_42192884_42194340 1439 1457 17 0 18
scaffold_2 23527273 23527372 scaffold_4_3628798_3630944 1649 2147 99 398 498
scaffold_2 23564201 23564331 scaffold_1_11879276_11891504 11208 12229 18 1002 1021
scaffold_2 23663675 23663694 scaffold_5_32664836_32665671 819 836 4 12 17
scaffold_2 23886194 23886213 scaffold_7_7432378_7435897 3469 3520 13 37 51
scaffold_2 23943355 23943405 scaffold_8_7395636_7403314 7663 7679 4 11 16
scaffold_2 23950998 23950996 scaffold_1_24219509_24224641 5105 5133 0 27 28
scaffold_2 24715947 24715966 scaffold_8_7799801_7804893 4985 5093 107 0 108
scaffold_2 24787378 24787421 scaffold_8_16270575_16272589 2014 2015 0 0 1
scaffold_2 24902441 24902453 scaffold_9_2861036_2863762 2687 2727 39 0 40
scaffold_2 24917483 24917476 scaffold_9_24549110_24550112 991 1003 0 11 12
scaffold_2 24961899 24961907 scaffold_3_24306323_24307564 644 1242 475 122 598
scaffold_2 25039026 25039025 scaffold_7_13301209_13302255 945 1047 68 33 102
scaffold_2 25096427 25096475 scaffold_1_15541075_15553392 12317 12318 0 0 1
scaffold_2 25152936 25153164 scaffold_2_5791461_5805142 12912 13682 352 417 770
scaffold_2 25328276 25328356 scaffold_3_16880149_16885313 5136 5165 12 16 29
scaffold_2 25409011 25409038 125_NHF 460 465 1 3 5
scaffold_2 25448393 25448460 scaffold_7_6971569_6972592 600 1024 92 331 424
scaffold_2 25544648 25544647 scaffold_7_14626126_14630982 4856 4857 0 0 1
scaffold_2 25579831 25579865 scaffold_8_6014157_6015503 1345 1347 1 0 2
scaffold_2 25624072 25624088 scaffold_3_35813496_35825829 12333 12334 0 0 1
scaffold_2 25667848 25667862 scaffold_2_10357644_10358940 1265 1297 30 1 32
scaffold_2 26026601 26026603 36_NHF 414 436 21 0 22
scaffold_2 26206384 26206472 scaffold_4_8223186_8247304 24057 24119 58 3 62
scaffold_2 26212287 26212302 scaffold_3_21671120_21672100 902 981 64 14 79
scaffold_2 26371748 26371768 36_NHF 433 436 0 2 3
scaffold_2 26397908 26397903 scaffold_7_2914231_2922680 8346 8450 1 102 104
scaffold_2 26400383 26400371 scaffold_5_6053113_6059038 5903 5926 12 10 23
scaffold_2 26495483 26495486 scaffold_5_659682_660749 1039 1068 14 14 29
scaffold_2 26548127 26548147 9_NHF 610 611 0 0 1
scaffold_2 26780756 26780765 scaffold_3_24306323_24307564 852 1242 362 27 390
scaffold_2 26781855 26781934 866_NHF 656 658 0 1 2
scaffold_2 26806295 26806312 scaffold_3_21385991_21386820 778 830 34 17 52
scaffold_2 26809821 26809813 9_NHF 602 611 8 0 9
scaffold_2 26828957 26828974 125_NHF 419 465 35 10 46
scaffold_2 26912348 26912353 scaffold_3_35813496_35825829 12306 12334 27 0 28
scaffold_2 26978107 26978122 41_NHF 311 366 35 19 55
scaffold_2 27017459 27017456 scaffold_7_13500657_13506585 5913 5929 13 2 16
scaffold_2 27195708 27195742 scaffold_8_3720650_3725810 4385 5161 338 437 776
scaffold_2 27201067 27201053 scaffold_3_43514156_43519142 4983 4987 0 3 4
scaffold_2 27233627 27233739 scaffold_3_24306323_24307564 858 1242 357 26 384
scaffold_2 27266599 27266629 scaffold_9_27023705_27035992 12275 12288 12 0 13
scaffold_2 27416272 27416289 7499_NHF 83 84 0 0 1
scaffold_2 27447218 27447236 188_NHF 444 473 0 28 29
scaffold_2 27447756 27447759 scaffold_8_5759657_5764842 5185 5186 0 0 1
scaffold_2 27540182 27540231 scaffold_3_9812752_9813565 780 814 0 33 34
scaffold_2 27627966 27628289 scaffold_3_35133775_35169948 32534 36174 2125 1514 3640
